,maker,specific_origin,reference_number,review_date,cocoa_percent,maker_location,rating,bean_type,broad_origin
290,Cacao de Origen,Rio Caribe,1692,2015,75.0,Venezuela,3.25,Trinitario,Venezuela
291,Cacao de Origen,Agua Fria; Sucre region,1391,2014,75.0,Venezuela,2.5,Blend,Venezuela
292,Cacao de Origen,Macuare; Miranda; Chloe formula,1391,2014,74.0,Venezuela,3.25,Blend,Venezuela
293,Cacao de Origen,"Chuao,Aragua region",1391,2014,75.0,Venezuela,3.5,Trinitario,Venezuela
294,Cacao de Origen,"Chuao,Aragua region",1395,2014,70.0,Venezuela,3.75,Trinitario,Venezuela
295,Cacao de Origin,Hacienda la Trinidad,1668,2015,74.0,Venezuela,3.25,Blend,Venezuela
296,Cacao Hunters,Macondo,1816,2016,71.0,Colombia,3.75,Blend,Colombia
297,Cacao Hunters,Perla Negra,1816,2016,74.0,Colombia,3.75,Blend,Colombia
298,Cacao Hunters,Arhuacos,1662,2015,72.0,Colombia,3.75,Blend,Colombia
299,Cacao Hunters,Sierra Nevada,1430,2014,64.0,Colombia,3.5,Blend,Colombia
300,Cacao Hunters,Tumaco,1430,2014,70.0,Colombia,3.5,Blend,Colombia
301,Cacao Hunters,"Boyaca,Aprocampa Coop,Pauna",1434,2014,69.0,Colombia,2.75,Blend,Colombia
302,Cacao Hunters,Arauca,1434,2014,70.0,Colombia,3.25,Blend,Colombia
303,Cacao Market,"Jutiapa,lot 050916D",1860,2016,70.0,U.S.A.,3.5,Trinitario,Honduras
304,Cacao Prieto,"Criollo,Dominican Republic",991,2012,72.0,U.S.A.,3.75,Criollo,Dominican Republic
305,Cacao Prieto,"Dominican Republicm,rustic",641,2011,72.0,U.S.A.,3.0,Blend,Dominican Republic
306,Cacao Prieto,Dominican Republic,641,2011,66.0,U.S.A.,3.75,Blend,Dominican Republic
307,Cacao Prieto,"Dominican Republic,rustic",647,2011,65.0,U.S.A.,3.25,Blend,Dominican Republic
308,Cacao Sampaka,"Mahali,Kasai",1908,2016,70.0,Spain,3.5,Criollo,Congo
309,Cacao Sampaka,Madagascar,508,2010,71.0,Spain,3.5,Trinitario,Madagascar
310,Cacao Sampaka,Ecuador,523,2010,71.0,Spain,3.75,Blend,Ecuador
311,Cacao Sampaka,Papua,523,2010,71.0,Spain,4.0,Blend,Papua New Guinea
312,Cacao Sampaka,Grenada,537,2010,71.0,Spain,3.25,Trinitario,Grenada
313,Cacao Sampaka,Venezuela,537,2010,71.0,Spain,3.5,Blend,Venezuela
314,Cacao Sampaka,Venezuela,537,2010,77.0,Spain,3.5,Blend,Venezuela
315,Cacao Sampaka,"Porcelana,Tabasco,La Joya",336,2009,70.0,Spain,4.0,Criollo,Mexico
316,Cacao Sampaka,"Xoconusco,Chiapas",346,2009,70.0,Spain,4.0,Criollo,Mexico
317,Cacao Store,Madagascar,1684,2015,70.0,Japan,3.0,Trinitario,Madagascar
318,Cacao Store,Peru,1684,2015,70.0,Japan,3.25,Blend,Peru
319,Cacao Store,Vietnam,1684,2015,70.0,Japan,3.5,Trinitario,Vietnam
320,Cacaosuyo (Theobroma Inversiones),Piura,1173,2013,70.0,Peru,3.25,Blend,Peru
321,Cacaoyere (Ecuatoriana),Amazonia,237,2008,63.0,Ecuador,3.5,Forastero (Arriba),Ecuador
322,Cacaoyere (Ecuatoriana),Esmeraldas,237,2008,71.0,Ecuador,3.5,Forastero (Arriba),Ecuador
323,Cacaoyere (Ecuatoriana),Bolivar,245,2008,82.0,Ecuador,2.5,Forastero (Arriba),Ecuador
324,Cacaoyere (Ecuatoriana),Pichincha,259,2008,91.0,Ecuador,1.5,Forastero (Arriba),Ecuador
325,Callebaut,Grenade,296,2008,60.0,Belgium,2.75,Trinitario,Grenada
326,Callebaut,Baking,141,2007,70.0,Belgium,1.0,Blend,Ecuador
327,C-Amaro,Cuba,1442,2014,75.0,Italy,2.5,Blend,Cuba
328,C-Amaro,Dominican Republic,1442,2014,72.0,Italy,3.0,Blend,Dominican Republic
329,C-Amaro,"Lago di Como,Blu",1442,2014,70.0,Italy,3.5,Blend,"Lago di Como,Blu"
330,C-Amaro,Ecuador,1185,2013,100.0,Italy,3.5,Blend,Ecuador
331,C-Amaro,Venezuela,809,2012,80.0,Italy,3.0,Blend,Venezuela
332,C-Amaro,Sao Tome,749,2011,78.0,Italy,2.25,Forastero,Sao Tome
333,C-Amaro,Trinidad,765,2011,70.0,Italy,2.5,Trinitario,Trinidad
334,Cao,Porcelana,1804,2016,75.0,U.S.A.,2.5,Criollo,Venezuela
335,Cao,Tanzania,1804,2016,73.0,U.S.A.,2.75,Blend,Tanzania
336,Cao,"Porcelana,Batch 5163",1804,2016,70.0,U.S.A.,3.0,Criollo,Venezuela
337,Cao,Bolivia,1808,2016,75.0,U.S.A.,3.0,Blend,Bolivia
338,Cao,Brazil,1808,2016,70.0,U.S.A.,3.25,Trinitario,Brazil
339,Caoni (Tulicorp),Esmeraldas,237,2008,77.0,Ecuador,2.0,Forastero (Arriba),Ecuador
340,Caoni (Tulicorp),Manabi,237,2008,77.0,Ecuador,2.5,Forastero (Arriba),Ecuador
341,Caoni (Tulicorp),Los Rios,245,2008,77.0,Ecuador,2.75,Forastero (Arriba),Ecuador
342,Caoni (Tulicorp),Manabi,266,2008,55.0,Ecuador,3.0,Forastero (Arriba),Ecuador
343,Caoni (Tulicorp),Los Rios,269,2008,55.0,Ecuador,3.25,Forastero (Arriba),Ecuador
344,Caoni (Tulicorp),Esmeraldas,269,2008,55.0,Ecuador,3.5,Forastero (Arriba),Ecuador
345,Captain Pembleton,"Saidor Estate,Madang P",1263,2014,70.0,New Zealand,3.5,Trinitario,Papua New Guinea
346,Captain Pembleton,Kulili Estate,1263,2014,70.0,New Zealand,3.75,Blend,Papua New Guinea
347,Caribeans,"Antigua,Special Reserve",1582,2015,72.0,Costa Rica,3.5,Blend,Guatemala
348,Caribeans,"Talamanca,Raul,Kekoldo community",1586,2015,72.0,Costa Rica,3.25,Blend,Costa Rica
349,Caribeans,Anselmo Paraiso Estate,1586,2015,72.0,Costa Rica,3.5,Blend,Costa Rica
350,Caribeans,Costa Rica,841,2012,72.0,Costa Rica,3.0,Forastero,Costa Rica
351,Caribeans,Costa Rica,845,2012,80.0,Costa Rica,2.75,Forastero,Costa Rica
352,Carlotta Chocolat,Arauca,1884,2016,65.0,Colombia,3.0,Trinitario,Colombia
353,Carlotta Chocolat,Tumaco,1888,2016,65.0,Colombia,3.25,Trinitario,Colombia
354,Carlotta Chocolat,Cordoba,1888,2016,65.0,Colombia,3.25,Trinitario,Colombia
355,Carlotta Chocolat,Huila,1888,2016,65.0,Colombia,3.5,Trinitario,Colombia
356,Carlotta Chocolat,Cesar,1888,2016,65.0,Colombia,3.5,CCN51,Colombia
357,Castronovo,"Maya Mtn,Batch 454,Heirloom",1724,2016,72.0,U.S.A.,4.0,Trinitario,Belize
358,Castronovo,"the lost city,gracias a dias,batch 362",1570,2015,72.0,U.S.A.,3.5,Trinitario,Honduras
359,Castronovo,"Duarte,Batch 360",1570,2015,70.0,U.S.A.,3.75,"Criollo, Trinitario",Dominican Republic
360,Castronovo,"Piaroa,Amazonas,Batch 350",1574,2015,72.0,U.S.A.,3.5,Blend,Venezuela
361,Castronovo,Sierra Nevada,1347,2014,72.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia
362,Castronovo,Arauca,1371,2014,76.0,U.S.A.,3.5,"Criollo, Trinitario",Colombia
363,Castronovo,Elvesia P,1407,2014,70.0,U.S.A.,2.75,Trinitario,Dominican Republic
364,Castronovo,Bolivia,1101,2013,70.0,U.S.A.,3.0,Trinitario,Bolivia
365,Castronovo,Conacado,1101,2013,73.0,U.S.A.,3.5,Trinitario,Dominican Republic
366,Castronovo,San Martin,1105,2013,70.0,U.S.A.,2.5,Criollo,Peru
367,Castronovo,"Guaniamo,Amazonas",1105,2013,70.0,U.S.A.,3.25,Blend,Venezuela
368,Castronovo,Nicaragua,1109,2013,72.0,U.S.A.,3.25,Trinitario,Nicaragua
369,Castronovo,Tumbes,1153,2013,70.0,U.S.A.,2.75,Criollo,Peru
370,Castronovo,Guaniamo,1153,2013,72.0,U.S.A.,3.0,Blend,Venezuela
371,Cello,Ecuador,1247,2014,70.0,U.S.A.,2.5,Blend,Ecuador
372,Cello,Peru,1247,2014,70.0,U.S.A.,2.75,Blend,Peru
373,Cello,Venezuela,1251,2014,70.0,U.S.A.,2.75,Blend,Venezuela
374,Cello,Bolivia,1251,2014,70.0,U.S.A.,3.0,Blend,Bolivia
375,Cemoi,Equateur,404,2009,72.0,France,2.75,Blend,Ecuador
376,Chaleur B,Uganda,1426,2014,70.0,Canada,2.75,Forastero,Uganda
377,Charm School,Maya Mtn,1900,2016,70.0,U.S.A.,3.25,Blend,Belize
378,Chchukululu (Tulicorp),Arriba,486,2010,55.0,Ecuador,2.75,Forastero (Arriba),Ecuador
379,Chchukululu (Tulicorp),Los Rios,252,2008,75.0,Ecuador,3.0,Forastero (Arriba),Ecuador
380,Chequessett,la Amistad,1235,2014,70.0,U.S.A.,3.5,Blend,Costa Rica
381,Chloe Chocolat,Blend No 1,672,2011,70.0,France,3.5,Blend,Blend No 1
382,Chocablog,Ecuador,1454,2015,70.0,England,3.25,Blend,Ecuador
383,Choco Del Sol,"Maya Mountain w,nibs",1407,2014,75.0,Germany,3.0,Trinitario,Belize
384,Choco Del Sol,Maya Mountain,1407,2014,82.0,Germany,3.25,Trinitario,Belize
385,Choco Dong,"Mekong Delta,early 2014 Harvest",1696,2015,70.0,South Korea,2.75,Trinitario,Vietnam
386,Choco Dong,"Tawau,Oct 2015 Harvest",1696,2015,70.0,South Korea,3.5,Trinitario,Malaysia
387,Chocolarder,Peru,1482,2015,65.0,England,2.5,Criollo,Peru
388,Chocolarder,Peru + nibs,1482,2015,65.0,England,2.75,Criollo,Peru
389,Chocolarder,Dominican Republic,1514,2015,80.0,England,2.5,Blend,Dominican Republic
390,Chocola'te,Madagascar,647,2011,70.0,U.S.A.,3.75,Trinitario,Madagascar
391,Chocola'te,Venezuela,647,2011,68.0,U.S.A.,3.75,Blend,Venezuela
392,Chocolate Alchemist-Philly,"Tumbes,""Zarumilla""",1772,2016,90.0,U.S.A.,2.5,Blend,Peru
393,Chocolate Alchemist-Philly,"Philly Blend,5 plantations",1772,2016,80.0,U.S.A.,2.5,Blend,"Philly Blend,5 plantations"
394,Chocolate Con Amor,Wild Bolivian,1760,2016,70.0,U.S.A.,2.5,Blend,Bolivia
395,Chocolate Con Amor,Uganda,1760,2016,70.0,U.S.A.,2.75,Blend,Uganda
396,Chocolate Con Amor,Dominican Republic,1764,2016,60.0,U.S.A.,3.0,Blend,Dominican Republic
397,Chocolate Con Amor,Dominican Republic,1764,2016,75.0,U.S.A.,3.0,Blend,Dominican Republic
398,Chocolate Con Amor,Ocumare,1764,2016,80.0,U.S.A.,3.0,Criollo (Ocumare),Venezuela
399,Chocolate Con Amor,Ecuador,1764,2016,70.0,U.S.A.,3.25,Blend,Ecuador
400,Chocolate Con Amor,Nicaragua,1768,2016,80.0,U.S.A.,2.75,Blend,Nicaragua
401,Chocolate Conspiracy,Peru,1259,2014,74.0,U.S.A.,2.75,Blend,Peru
402,Chocolate Makers,Tres Hombres,1530,2015,75.0,Netherlands,3.25,Trinitario,Dominican Republic
403,Chocolate Makers,"Congo,Gorilla bar",1530,2015,68.0,Netherlands,3.5,Forastero,Congo
404,Chocolate Makers,"Peru,Awagum bar",1530,2015,80.0,Netherlands,3.75,Criollo,Peru
405,"Chocolate Tree, The",Maranon,1582,2015,69.0,Scotland,3.75,Forastero (Nacional),Peru
406,"Chocolate Tree, The",Carenero Superior,1582,2015,80.0,Scotland,3.75,Trinitario,Venezuela
407,"Chocolate Tree, The",Peru,1121,2013,70.0,Scotland,3.75,Forastero (Nacional),Peru
408,"Chocolate Tree, The",Ecuador,919,2012,82.0,Scotland,2.5,Forastero (Arriba),Ecuador
409,"Chocolate Tree, The",Peru,919,2012,68.0,Scotland,2.75,Criollo,Peru
410,"Chocolate Tree, The",Madagascar,919,2012,72.0,Scotland,3.25,Criollo,Madagascar
411,Chocolats Privilege,Xoconusco,1219,2014,70.0,Canada,2.5,Criollo,Mexico
412,ChocoReko,Patanemo,1454,2015,77.0,Japan,3.0,Criollo,Venezuela
413,Chocosol,"Chiapas,Lacandon Jungle,Oaxacom Mtn",682,2011,65.0,Canada,3.25,Blend,Mexico
414,Chocovic,Xoconusco,478,2010,71.0,Spain,3.25,Criollo,Mexico
415,Chocovic,Sambirano,478,2010,71.0,Spain,3.5,Trinitario,Madagascar
416,Chocovic,Kendari,439,2009,60.0,Spain,3.25,Blend,Kendari
417,Chocovic,Tarakan,439,2009,75.0,Spain,3.25,Blend,Tarakan
418,Chocovic,Ocumare,209,2008,71.0,Spain,3.5,Criollo,Venezuela
419,Chocovic,"Bolivar,Guaranda",117,2007,71.0,Spain,2.5,Forastero (Arriba),Ecuador
420,Chocovic,Guyave,117,2007,71.0,Spain,2.5,Trinitario,Grenada
421,Chocovic,Maragda,117,2007,70.0,Spain,3.0,Blend,Maragda
422,Chocovivo,Tabasco,1522,2015,65.0,U.S.A.,2.5,Trinitario,Mexico
423,Chocovivo,Tabasco,1522,2015,75.0,U.S.A.,2.5,Trinitario,Mexico
424,Choklat,Ocumare,377,2009,80.0,Canada,2.5,Criollo,Venezuela
425,Choklat,"Porcelana,Tabasco",377,2009,70.0,Canada,2.75,Criollo,Mexico
426,Choklat,Brazilian,377,2009,70.0,Canada,3.0,Blend,Brazil
427,Choklat,Brazilian,377,2009,80.0,Canada,3.0,Blend,Brazil
428,Choklat,Ocumare,377,2009,70.0,Canada,3.0,Criollo,Venezuela
429,Chokolat Elot (Girard),Guadeloupe,1149,2013,42.0,Martinique,2.75,Blend,Martinique
430,Choocsol,"Chiapas,Lacandon Jungle,Oaxacom Mtn",1832,2016,75.0,Canada,3.25,Blend,Mexico
431,Christopher Morel (Felchlin),"Maranon Canyon,Fortunato No 4",666,2011,68.0,Canada,3.75,Forastero (Nacional),Peru
432,Chuao Chocolatier,Choroni,445,2009,61.0,U.S.A.,3.0,Criollo,Venezuela
433,Chuao Chocolatier (Pralus),Chuao,486,2010,77.0,U.S.A.,2.75,Trinitario,Venezuela
434,Claudio Corallo,Terreiro Velho P,470,2010,73.5,Sao Tome,3.75,Forastero,"Sao Tome,Principe"
435,Claudio Corallo,"Terreiro Velho P w,sugar crystals",209,2008,80.0,Sao Tome,3.0,Forastero,"Sao Tome,Principe"
436,Claudio Corallo,Terreiro Velho P,227,2008,75.0,Sao Tome,4.0,Forastero,"Sao Tome,Principe"
437,Claudio Corallo,Principe,252,2008,100.0,Sao Tome,1.0,Forastero,"Sao Tome,Principe"
438,Cloudforest,"Camino Verde P,Balao,Guayas,2014",1486,2015,73.0,U.S.A.,3.5,Blend,Ecuador
439,Coleman & Davis,Sambirano,1646,2015,75.0,U.S.A.,3.0,Trinitario,Madagascar
440,Compania de Chocolate (Salgado),Sur del Lago,579,2010,70.0,Argentina,3.25,Blend,Venezuela
441,Compania de Chocolate (Salgado),Carenero Superior,292,2008,80.0,Argentina,2.75,Trinitario,Venezuela
442,Compania de Chocolate (Salgado),Moxos,292,2008,72.0,Argentina,3.25,Blend,Bolivia
443,Compania de Chocolate (Salgado),Ocumare,292,2008,70.0,Argentina,3.75,Criollo,Venezuela
444,Compania de Chocolate (Salgado),Esmeraldas,296,2008,88.0,Argentina,2.75,Forastero (Nacional),Ecuador
445,Condor,Camino Verde,1630,2015,76.0,U.S.A.,3.5,Blend,Ecuador
446,Confluence,"Tien Giang,2015,batch 10,2,16",1916,2016,78.0,U.S.A.,2.75,Trinitario,Vietnam
447,Coppeneur,"Ecuador,Puristique",1169,2013,65.0,Germany,3.25,Forastero (Nacional),Ecuador
448,Coppeneur,Ghana Puristique,813,2012,85.0,Germany,3.5,Forastero,Ghana
449,Coppeneur,Ecuador Puristique,817,2012,100.0,Germany,1.5,Blend,Ecuador
450,Coppeneur,Uba Budo,821,2012,72.0,Germany,3.75,Forastero,"Sao Tome,Principe"
451,Coppeneur,Madagascar,959,2012,70.0,Germany,3.5,Trinitario,Madagascar
452,Coppeneur,Grenada,470,2010,72.0,Germany,3.25,Trinitario,Grenada
453,Coppeneur,Chuao,478,2010,70.0,Germany,3.0,Trinitario,Venezuela
454,Coppeneur,"Los Rios,H Iara",558,2010,72.0,Germany,2.5,Nacional,Ecuador
455,Coppeneur,Trinidad,558,2010,72.0,Germany,3.0,Trinitario,Trinidad
456,Coppeneur,Jamaica,558,2010,72.0,Germany,3.25,Trinitario,Jamaica
457,Coppeneur,Ocumare 61,558,2010,72.0,Germany,3.25,Criollo (Ocumare 61),Venezuela
458,Coppeneur,"Porcelana,Apotequil",341,2009,72.0,Germany,3.0,Criollo,Peru
459,Coppeneur,"Porcelana,Apotequil",445,2009,62.0,Germany,3.25,Criollo,Peru
460,Coppeneur,Chuao 100hr,451,2009,70.0,Germany,3.5,"Criollo, Trinitario",Venezuela
461,Coppeneur,Chuao 70hr,451,2009,70.0,Germany,3.75,"Criollo, Trinitario",Venezuela
462,Coppeneur,"Porcelana,Tabasco,Mexico",220,2008,72.0,Germany,3.0,Criollo,Mexico
463,Coppeneur,"Porcelana,Venezuela",220,2008,72.0,Germany,3.0,Criollo (Porcelana),Venezuela
464,Coppeneur,"Sambirano,Menava P",196,2007,72.0,Germany,3.0,Trinitario,Madagascar
465,Cote d' Or (Kraft),Sensations Intense,48,2006,70.0,Belgium,1.0,Blend,Sensations Intense
466,Cravve,New Ireland,1283,2014,70.0,Australia,2.5,Forastero,Papua New Guinea
467,Cravve,"Vanuatu,batch 2410",1335,2014,83.0,Australia,2.75,Trinitario,Vanuatu
468,Cravve,"Tanzania,batch a1",971,2012,75.0,Australia,3.25,Forastero,Tanzania
469,Cravve,"Bahia,batch a1213",975,2012,65.0,Australia,3.25,Trinitario,Brazil
470,Cravve,"Namau Village,N Taileva P,batch a2812",975,2012,67.0,Australia,3.25,Trinitario,Fiji
471,Cravve,Vanuatu,975,2012,64.0,Australia,3.25,Trinitario,Vanuatu
472,Cravve,Djual Island,975,2012,75.0,Australia,3.5,Forastero,Papua New Guinea
473,Creo,"""heirloom"",Arriba Nacional",1736,2016,85.0,U.S.A.,3.25,Forastero (Nacional),Ecuador
474,Creo,"""heirloom"",Arriba Nacional",1736,2016,73.0,U.S.A.,3.75,Forastero (Nacional),Ecuador
475,Daintree,Goodman Estate,1654,2015,70.0,Australia,2.75,Blend,Australia
476,Daintree,"Daintree Estates,N Queensland",785,2011,70.0,Australia,3.25,Blend,Australia
477,Dalloway,"Dominican Republic,batch 7",1928,2017,72.0,U.S.A.,2.75,Blend,Dominican Republic
478,Damson,Robson Estate,1610,2015,70.0,England,3.0,Trinitario,Trinidad
479,Damson,Los Rios,1610,2015,70.0,England,3.5,Blend,Ecuador
480,Damson,Crayfish Bay aka Non Pariel Estate,1666,2015,70.0,England,2.25,Blend,Grenada
481,Damson,O'Payo,1666,2015,70.0,England,2.75,Blend,Nicaragua
482,Dandelion,"Zorzal Reserva,2015 H,Kerchner",1816,2016,70.0,U.S.A.,3.75,Blend,"Zorzal Reserva,2015 H,Kerchner"
483,Dandelion,"Maya Mtn,Break Bar,Snark",1446,2015,70.0,U.S.A.,3.0,Trinitario,Belize
484,Dandelion,Maya Mountain,1219,2014,70.0,U.S.A.,3.5,Trinitario,Belize
485,Dandelion,"Camino Verde P,Balao,Guayas,2013",1295,2014,70.0,U.S.A.,3.5,Blend,Ecuador
486,Dandelion,Buto,1303,2014,70.0,U.S.A.,2.75,Blend,Liberia
487,Dandelion,"San Francisco de Macoris,Cibao region",1387,2014,70.0,U.S.A.,3.75,Blend,Dominican Republic
488,Dandelion,"Cumboto,farmer Jose Lugo",1026,2013,70.0,U.S.A.,2.75,Blend,Venezuela
489,Dandelion,Patanemo,1026,2013,70.0,U.S.A.,3.25,Blend,Venezuela
490,Dandelion,"Mantuano,2012",1085,2013,70.0,U.S.A.,3.5,Blend,Venezuela
491,Dandelion,Papua New Guinea,1153,2013,70.0,U.S.A.,3.5,Blend,Papua New Guinea
492,Dandelion,Upala,805,2012,70.0,U.S.A.,3.0,Blend,Costa Rica
493,Dandelion,Colombian,805,2012,70.0,U.S.A.,3.25,Blend,Colombia
494,Dandelion,"Elvesia,2011",915,2012,70.0,U.S.A.,3.75,Blend,Dominican Republic
495,Dandelion,Dominican Republic,654,2011,70.0,U.S.A.,3.25,Blend,Dominican Republic
496,Dandelion,Madagascar,654,2011,70.0,U.S.A.,3.25,Trinitario,Madagascar
497,Dandelion,Tanzania,654,2011,70.0,U.S.A.,3.25,Blend,Tanzania
498,Danta,Los Ujuxtes,1223,2014,82.0,Guatemala,3.25,Blend,Guatemala
499,Danta,Chuao,987,2012,75.0,Guatemala,3.0,Trinitario,Venezuela
500,Danta,Los Ujuxtes,987,2012,70.0,Guatemala,3.75,Blend,Guatemala
501,Danta,Sambirano,987,2012,70.0,Guatemala,3.75,Trinitario,Madagascar
502,Danta,Las Acacias E,987,2012,70.0,Guatemala,4.0,Criollo,Guatemala
503,Danta,"Oscuro,Finca Chimelb",991,2012,70.0,Guatemala,3.25,Blend,Guatemala
504,Danta,Los Ujuxtes,661,2011,60.0,Guatemala,3.5,Blend,Guatemala
505,Danta,Las Acacias E,423,2009,75.0,Guatemala,3.0,Criollo,Guatemala
506,Danta,Las Acacias E,423,2009,60.0,Guatemala,3.25,Criollo,Guatemala
507,DAR,"Venezuela,batch 122",1920,2016,72.0,U.S.A.,2.75,Blend,Venezuela
508,DAR,Vietnam,1920,2016,72.0,U.S.A.,3.0,Trinitario,Vietnam
509,DAR,"DUO,batch 002",1920,2016,70.0,U.S.A.,3.25,Blend,"Ecuador,Costa Rica"
510,Dark Forest,Bolivia,1708,2016,75.0,U.S.A.,3.25,Blend,Bolivia
511,Dark Forest,Madagascar,1550,2015,70.0,U.S.A.,3.0,Trinitario,Madagascar
512,Dark Forest,Ocumare,1550,2015,70.0,U.S.A.,3.25,Blend,Venezuela
513,Dark Forest,Tanzania,1554,2015,70.0,U.S.A.,3.0,Blend,Tanzania
514,Dark Forest,Ecuador,1554,2015,70.0,U.S.A.,3.25,Blend,Ecuador
515,Davis,Ghana,1093,2013,70.0,U.S.A.,2.5,Forastero,Ghana
516,Davis,Rainforest,1093,2013,70.0,U.S.A.,2.75,Blend,Dominican Republic
517,Davis,Venezuela,1093,2013,70.0,U.S.A.,2.75,Blend,Venezuela
518,Davis,West Africa,907,2012,58.0,U.S.A.,3.25,Forastero,West Africa
519,De Mendes,"Nativo,Varzea",1462,2015,72.0,Brazil,3.5,Blend,Brazil
520,De Mendes,"Selvagem,Jari",1462,2015,65.0,Brazil,3.5,Blend,Brazil
521,De Villiers,Bundibugyo District,1832,2016,70.0,South Africa,2.5,Forastero,Uganda
522,De Villiers,"Sambirano Valley,batch 2477",1832,2016,70.0,South Africa,3.0,Blend,Madagascar
523,Dean and Deluca (Belcolade),Madagascar,170,2007,66.0,U.S.A.,2.5,Trinitario,Madagascar
524,Dean and Deluca (Belcolade),Costa Rica,175,2007,64.0,U.S.A.,3.0,Blend,Costa Rica
525,Dean and Deluca (Belcolade),Ecuador,175,2007,71.0,U.S.A.,3.0,Blend,Ecuador
526,Dean and Deluca (Belcolade),Ghana,175,2007,60.0,U.S.A.,3.0,Forastero,Ghana
527,Dean and Deluca (Belcolade),Papua New Guinea,180,2007,64.0,U.S.A.,3.0,Blend,Papua New Guinea
528,Dean and Deluca (Belcolade),Peru,180,2007,64.0,U.S.A.,3.0,Blend,Peru
529,Debauve & Gallais (Michel Cluizel),Papua New Guinea,423,2009,64.0,France,3.0,Blend,Papua New Guinea
530,Debauve & Gallais (Michel Cluizel),Venezuela,263,2008,66.0,France,3.75,Blend,Venezuela
531,Desbarres,"Kilombero,batch 41",1916,2016,72.0,Canada,2.5,Blend,Tanzania
532,DeVries,Bolivian,241,2008,80.0,U.S.A.,2.75,Blend,Bolivia
533,DeVries,Costa Rica,166,2007,77.0,U.S.A.,3.5,Trinitario,Costa Rica
534,DeVries,Dominican Republic,166,2007,77.0,U.S.A.,3.5,Blend,Dominican Republic
535,Dick Taylor,Lanquin Estate,1952,2017,70.0,U.S.A.,3.75,Blend,Guatemala
536,Dick Taylor,Tien Giang,1864,2016,78.0,U.S.A.,3.5,Trinitario,Vietnam
537,Dick Taylor,"Alto Beni,Wild Harvest,Limited Ed",1634,2015,70.0,U.S.A.,3.75,Blend,Bolivia
538,Dick Taylor,Elvesia,1235,2014,74.0,U.S.A.,3.5,Blend,Dominican Republic
539,Dick Taylor,"Ecuador,Choc Garage Exclusive",1034,2013,70.0,U.S.A.,3.25,Blend,Ecuador
540,Dick Taylor,Camino Verde,1193,2013,76.0,U.S.A.,3.5,Blend,Ecuador
541,Dick Taylor,Bolivia,895,2012,75.0,U.S.A.,2.75,Blend,Bolivia
542,Dick Taylor,Belize,955,2012,72.0,U.S.A.,2.75,Trinitario,Belize
543,Dick Taylor,Sambirano,661,2011,80.0,U.S.A.,2.75,Trinitario,Madagascar
544,Dick Taylor,Sambirano,661,2011,72.0,U.S.A.,3.0,Trinitario,Madagascar
545,Dick Taylor,Mantuano,682,2011,75.0,U.S.A.,2.75,Criollo,Venezuela
546,Dick Taylor,La Red,769,2011,74.0,U.S.A.,3.0,Blend,Dominican Republic
547,Dick Taylor,Ecuador,769,2011,70.0,U.S.A.,3.25,Blend,Ecuador
548,Doble & Bignall,Puerto Cabello,1688,2015,85.0,England,3.0,Blend,Venezuela
549,Doble & Bignall,"Panama,Raven",1371,2014,72.0,England,3.25,Blend,Panama
550,Doble & Bignall,"Puerto Cabello,Mantuano",1371,2014,72.0,England,3.25,Trinitario,Venezuela
551,Doble & Bignall,Johe,1407,2014,72.0,England,3.5,"Criollo, Trinitario",Nicaragua
552,Dole (Guittard),"O'ahu,N Shore,Waialua Estate",311,2009,70.0,U.S.A.,3.75,Blend,Hawaii
553,Dolfin (Belcolade),Africa,304,2008,88.0,Belgium,3.0,Forastero,West Africa
554,Dolfin (Belcolade),Noir,63,2006,70.0,Belgium,1.5,Blend,Noir
555,Domori,Hacienda Victoria,1672,2015,70.0,Italy,3.75,Blend,Ecuador
556,Domori,Ocumare 77,1672,2015,70.0,Italy,3.75,Criollo (Ocumare 77),Venezuela
557,Domori,"IL100,H San Jose",1109,2013,100.0,Italy,3.0,Criollo,Venezuela
558,Domori,Morogoro,863,2012,70.0,Italy,3.5,Blend,Tanzania
559,Domori,Guasare,863,2012,70.0,Italy,3.75,Criollo,Venezuela
560,Domori,"Canoabo,Hacienda San Jose",693,2011,70.0,Italy,3.5,Criollo,Venezuela
561,Domori,"Chuao,Hacienda San Jose",470,2010,70.0,Italy,3.0,Trinitario,Venezuela
562,Domori,"Carupano,H San Jose",227,2008,70.0,Italy,3.0,Trinitario,Venezuela
563,Domori,Teyuna,272,2008,70.0,Italy,3.0,Blend,Colombia
564,Domori,Blend No 1,272,2008,78.0,Italy,3.5,Blend,Blend No 1
565,Domori,Ilblend,272,2008,70.0,Italy,3.75,Blend,Ilblend
566,Domori,Porcelana,111,2007,70.0,Italy,4.0,Criollo (Porcelana),Venezuela
567,Domori,"Ocumare 61,Puertomar",129,2007,75.0,Italy,3.25,Criollo (Ocumare 61),Venezuela
568,Domori,Granella,135,2007,60.0,Italy,3.25,Trinitario,Venezuela
569,Domori,Madagascar,135,2007,70.0,Italy,3.5,Trinitario,Madagascar
570,Domori,Madagared,192,2007,70.0,Italy,3.5,Criollo,Madagascar
571,Domori,"Java,Javablond",192,2007,70.0,Italy,3.75,Criollo,Indonesia
572,Domori,Ecuador,192,2007,70.0,Italy,4.0,Forastero (Arriba),Ecuador
